cycle,voltage,current,power
1,4.16,0.0068,0.028288
2,4.164,0.0069,0.028732
3,4.16,0.0067,0.027872
4,4.164,0.0071,0.029564
5,4.16,0.0071,0.029536
6,4.164,0.0068,0.028315
7,4.164,0.0069,0.028732
8,4.16,0.0069,0.028704
9,4.16,0.0067,0.027872
10,4.16,0.0068,0.028288
11,4.164,0.0067,0.027899
12,4.164,0.0067,0.027899
13,4.164,0.0069,0.028732
14,4.164,0.0068,0.028315
15,4.16,0.0068,0.028288
16,4.164,0.0068,0.028315
17,4.168,0.0066,0.027509
18,4.164,0.0069,0.028732
19,4.164,0.0067,0.027899
20,4.164,0.0067,0.027899
21,4.164,0.0067,0.027899
22,4.164,0.007,0.029148
23,4.164,0.0067,0.027899
24,4.164,0.0068,0.028315
25,4.164,0.0069,0.028732
26,4.164,0.0069,0.028732
27,4.164,0.0068,0.028315
28,4.164,0.0068,0.028315
29,4.164,0.0066,0.027482
30,4.164,0.0069,0.028732
31,4.168,0.0066,0.027509
32,4.168,0.0065,0.027092
33,4.168,0.0068,0.028342
34,4.164,0.0069,0.028732
35,4.148,0.0067,0.027792
36,4.148,0.0069,0.028621
37,4.144,0.0065,0.026936
38,4.152,0.007,0.029064
39,4.148,0.0067,0.027792
40,4.144,0.007,0.029008
41,4.16,0.0069,0.028704
42,4.168,0.0069,0.028759
43,4.16,0.0068,0.028288
44,4.16,0.0071,0.029536
45,4.16,0.0067,0.027872
46,4.164,0.0071,0.029564
47,4.168,0.007,0.029176
48,4.168,0.0067,0.027926
49,4.168,0.007,0.029176
50,4.16,0.0071,0.029536
51,4.16,0.0068,0.028288
52,4.156,0.0069,0.028676
53,4.16,0.0069,0.028704
54,4.164,0.0069,0.028732
55,4.16,0.0068,0.028288
56,4.164,0.0067,0.027899
57,4.164,0.0069,0.028732
58,4.164,0.007,0.029148
59,4.16,0.0068,0.028288
60,4.164,0.0071,0.029564
61,4.164,0.0071,0.029564
62,4.164,0.007,0.029148
63,4.164,0.0069,0.028732
64,4.168,0.0067,0.027926
65,4.164,0.0068,0.028315
66,4.164,0.0066,0.027482
67,4.164,0.0069,0.028732
68,4.168,0.0069,0.028759
69,4.168,0.0067,0.027926
70,4.168,0.0068,0.028342
71,4.164,0.0069,0.028732
72,4.164,0.0068,0.028315
73,4.168,0.0069,0.028759
74,4.164,0.007,0.029148
75,4.164,0.0068,0.028315
76,4.164,0.0068,0.028315
77,4.168,0.0067,0.027926
78,4.164,0.0067,0.027899
79,4.164,0.0067,0.027899
80,4.168,0.0066,0.027509
81,4.164,0.0066,0.027482
82,4.164,0.0071,0.029564
83,4.164,0.0068,0.028315
84,4.16,0.0069,0.028704
85,4.164,0.0069,0.028732
86,4.164,0.0068,0.028315
87,4.164,0.0067,0.027899
88,4.164,0.007,0.029148
89,4.164,0.0069,0.028732
90,4.164,0.0067,0.027899
91,4.164,0.0072,0.029981
92,4.168,0.0066,0.027509
93,4.168,0.0073,0.030426
94,4.164,0.0068,0.028315
95,4.164,0.0068,0.028315
96,4.168,0.0068,0.028342
97,4.164,0.0066,0.027482
98,4.168,0.0069,0.028759
99,4.16,0.0068,0.028288
100,4.164,0.0071,0.029564
101,4.164,0.0071,0.029564
102,4.164,0.0067,0.027899
103,4.164,0.0068,0.028315
104,4.16,0.0067,0.027872
105,4.164,0.007,0.029148
106,4.164,0.0071,0.029564
107,4.168,0.0067,0.027926
108,4.164,0.0071,0.029564
109,4.164,0.0069,0.028732
110,4.164,0.0069,0.028732
111,4.164,0.0068,0.028315
112,4.164,0.0067,0.027899
113,4.168,0.007,0.029176
114,4.164,0.0068,0.028315
115,4.164,0.0068,0.028315
116,4.168,0.0067,0.027926
117,4.168,0.0069,0.028759
118,4.168,0.0069,0.028759
119,4.164,0.0066,0.027482
120,4.168,0.0069,0.028759
121,4.164,0.0069,0.028732
122,4.164,0.0069,0.028732
123,4.164,0.0069,0.028732
124,4.164,0.0067,0.027899
125,4.168,0.0069,0.028759
126,4.164,0.0068,0.028315
127,4.164,0.0069,0.028732
128,4.168,0.0069,0.028759
129,4.168,0.0066,0.027509
130,4.168,0.0069,0.028759
131,4.168,0.0069,0.028759
132,4.164,0.0067,0.027899
133,4.168,0.0069,0.028759
134,4.164,0.0069,0.028732
135,4.168,0.007,0.029176
136,4.168,0.007,0.029176
137,4.168,0.0069,0.028759
138,4.168,0.0069,0.028759
139,4.164,0.007,0.029148
140,4.168,0.007,0.029176
141,4.168,0.0068,0.028342
142,4.172,0.0068,0.02837
143,4.176,0.0067,0.027979
144,4.168,0.0071,0.029593
145,4.172,0.0072,0.030038
146,4.172,0.0072,0.030038
147,4.172,0.0068,0.02837
148,4.172,0.007,0.029204
149,4.168,0.007,0.029176
150,4.168,0.007,0.029176
151,4.168,0.007,0.029176
152,4.168,0.0068,0.028342
153,4.168,0.007,0.029176
154,4.172,0.0067,0.027952
155,4.168,0.007,0.029176
156,4.172,0.0069,0.028787
157,4.172,0.0071,0.029621
158,4.172,0.0071,0.029621
159,4.172,0.0071,0.029621
160,4.172,0.0068,0.02837
161,4.172,0.0066,0.027535
162,4.172,0.0066,0.027535
163,4.172,0.007,0.029204
164,4.172,0.0071,0.029621
165,4.172,0.007,0.029204
166,4.176,0.0067,0.027979
167,4.172,0.0068,0.02837
168,4.176,0.0069,0.028814
169,4.172,0.007,0.029204
170,4.172,0.0069,0.028787
171,4.176,0.0069,0.028814
172,4.176,0.007,0.029232
173,4.176,0.007,0.029232
174,4.172,0.0066,0.027535
175,4.172,0.0069,0.028787
176,4.176,0.007,0.029232
177,4.172,0.0066,0.027535
178,4.176,0.0068,0.028397
179,4.172,0.0069,0.028787
180,4.172,0.007,0.029204
181,4.176,0.0068,0.028397
182,4.176,0.0069,0.028814
183,4.172,0.0067,0.027952
184,4.176,0.0072,0.030067
185,4.176,0.007,0.029232
186,4.176,0.0069,0.028814
187,4.172,0.0068,0.02837
188,4.176,0.007,0.029232
189,4.172,0.0071,0.029621
190,4.176,0.0068,0.028397
191,4.172,0.0069,0.028787
192,4.172,0.007,0.029204
193,4.172,0.0071,0.029621
194,4.176,0.0069,0.028814
195,4.172,0.0071,0.029621
196,4.172,0.0068,0.02837
197,4.172,0.0071,0.029621
198,4.172,0.0069,0.028787
199,4.172,0.0071,0.029621
200,4.172,0.007,0.029204
201,4.172,0.0072,0.030038
202,4.176,0.0068,0.028397
203,4.172,0.0068,0.02837
204,4.176,0.0069,0.028814
205,4.172,0.007,0.029204
206,4.172,0.0069,0.028787
207,4.172,0.007,0.029204
208,4.172,0.0067,0.027952
209,4.176,0.0068,0.028397
210,4.172,0.0069,0.028787
211,4.172,0.0069,0.028787
212,4.18,0.0068,0.028424
213,4.172,0.0065,0.027118
214,4.168,0.0068,0.028342
215,4.176,0.0071,0.02965
216,4.172,0.0069,0.028787
217,4.168,0.0072,0.03001
218,4.172,0.0069,0.028787
219,4.172,0.0067,0.027952
220,4.18,0.0068,0.028424
221,4.172,0.0068,0.02837
222,4.176,0.0068,0.028397
223,4.172,0.0069,0.028787
224,4.172,0.007,0.029204
225,4.172,0.0067,0.027952
226,4.172,0.007,0.029204
227,4.172,0.0067,0.027952
228,4.168,0.0072,0.03001
229,4.172,0.0071,0.029621
230,4.176,0.0069,0.028814
231,4.176,0.007,0.029232
232,4.168,0.0071,0.029593
233,4.172,0.0066,0.027535
234,4.172,0.0069,0.028787
235,4.172,0.007,0.029204
236,4.172,0.007,0.029204
237,4.172,0.0069,0.028787
238,4.172,0.0067,0.027952
239,4.172,0.0069,0.028787
240,4.172,0.007,0.029204
241,4.172,0.0068,0.02837
242,4.176,0.0069,0.028814
243,4.172,0.0068,0.02837
244,4.168,0.007,0.029176
245,4.172,0.0068,0.02837
246,4.172,0.0067,0.027952
247,4.172,0.0071,0.029621
248,4.172,0.0067,0.027952
249,4.172,0.0072,0.030038
250,4.172,0.0069,0.028787
251,4.172,0.0068,0.02837
252,4.172,0.007,0.029204
253,4.172,0.0067,0.027952
254,4.172,0.0069,0.028787
255,4.172,0.0072,0.030038
256,4.172,0.0069,0.028787
257,4.168,0.0067,0.027926
258,4.172,0.0069,0.028787
259,4.172,0.0071,0.029621
260,4.172,0.0071,0.029621
261,4.176,0.0069,0.028814
262,4.172,0.0067,0.027952
263,4.172,0.007,0.029204
264,4.172,0.0068,0.02837
265,4.172,0.0069,0.028787
266,4.172,0.007,0.029204
267,4.172,0.0071,0.029621
268,4.172,0.0068,0.02837
269,4.168,0.0066,0.027509
270,4.168,0.0069,0.028759
271,4.168,0.007,0.029176
