cycle,voltage,current,power,soc_percent
1,4.16,0.0068,0.028288,80.000378
2,4.164,0.0069,0.028732,80.000761
3,4.16,0.0067,0.027872,80.001133
4,4.164,0.0071,0.029564,80.001528
5,4.16,0.0071,0.029536,80.001922
6,4.164,0.0068,0.028315,80.002300
7,4.164,0.0069,0.028732,80.002683
8,4.16,0.0069,0.028704,80.003067
9,4.16,0.0067,0.027872,80.003439
10,4.16,0.0068,0.028288,80.003817
11,4.164,0.0067,0.027899,80.004189
12,4.164,0.0067,0.027899,80.004561
13,4.164,0.0069,0.028732,80.004944
14,4.164,0.0068,0.028315,80.005322
15,4.16,0.0068,0.028288,80.005700
16,4.164,0.0068,0.028315,80.006078
17,4.168,0.0066,0.027509,80.006444
18,4.164,0.0069,0.028732,80.006828
19,4.164,0.0067,0.027899,80.007200
20,4.164,0.0067,0.027899,80.007572
21,4.164,0.0067,0.027899,80.007944
22,4.164,0.007,0.029148,80.008333
23,4.164,0.0067,0.027899,80.008706
24,4.164,0.0068,0.028315,80.009083
25,4.164,0.0069,0.028732,80.009467
26,4.164,0.0069,0.028732,80.009850
27,4.164,0.0068,0.028315,80.010228
28,4.164,0.0068,0.028315,80.010606
29,4.164,0.0066,0.027482,80.010972
30,4.164,0.0069,0.028732,80.011356
31,4.168,0.0066,0.027509,80.011722
32,4.168,0.0065,0.027092,80.012083
33,4.168,0.0068,0.028342,80.012461
34,4.164,0.0069,0.028732,80.012844
35,4.148,0.0067,0.027792,80.013217
36,4.148,0.0069,0.028621,80.013600
37,4.144,0.0065,0.026936,80.013961
38,4.152,0.007,0.029064,80.014350
39,4.148,0.0067,0.027792,80.014722
40,4.144,0.007,0.029008,80.015111
41,4.16,0.0069,0.028704,80.015494
42,4.168,0.0069,0.028759,80.015878
43,4.16,0.0068,0.028288,80.016256
44,4.16,0.0071,0.029536,80.016650
45,4.16,0.0067,0.027872,80.017022
46,4.164,0.0071,0.029564,80.017417
47,4.168,0.007,0.029176,80.017806
48,4.168,0.0067,0.027926,80.018178
49,4.168,0.007,0.029176,80.018567
50,4.16,0.0071,0.029536,80.018961
51,4.16,0.0068,0.028288,80.019339
52,4.156,0.0069,0.028676,80.019722
53,4.16,0.0069,0.028704,80.020106
54,4.164,0.0069,0.028732,80.020489
55,4.16,0.0068,0.028288,80.020867
56,4.164,0.0067,0.027899,80.021239
57,4.164,0.0069,0.028732,80.021622
58,4.164,0.007,0.029148,80.022011
59,4.16,0.0068,0.028288,80.022389
60,4.164,0.0071,0.029564,80.022783
61,4.164,0.0071,0.029564,80.023178
62,4.164,0.007,0.029148,80.023567
63,4.164,0.0069,0.028732,80.023950
64,4.168,0.0067,0.027926,80.024322
65,4.164,0.0068,0.028315,80.024700
66,4.164,0.0066,0.027482,80.025067
67,4.164,0.0069,0.028732,80.025450
68,4.168,0.0069,0.028759,80.025833
69,4.168,0.0067,0.027926,80.026206
70,4.168,0.0068,0.028342,80.026583
71,4.164,0.0069,0.028732,80.026967
72,4.164,0.0068,0.028315,80.027344
73,4.168,0.0069,0.028759,80.027728
74,4.164,0.007,0.029148,80.028117
75,4.164,0.0068,0.028315,80.028494
76,4.164,0.0068,0.028315,80.028872
77,4.168,0.0067,0.027926,80.029244
78,4.164,0.0067,0.027899,80.029617
79,4.164,0.0067,0.027899,80.029989
80,4.168,0.0066,0.027509,80.030356
81,4.164,0.0066,0.027482,80.030722
82,4.164,0.0071,0.029564,80.031117
83,4.164,0.0068,0.028315,80.031494
84,4.16,0.0069,0.028704,80.031878
85,4.164,0.0069,0.028732,80.032261
86,4.164,0.0068,0.028315,80.032639
87,4.164,0.0067,0.027899,80.033011
88,4.164,0.007,0.029148,80.033400
89,4.164,0.0069,0.028732,80.033783
90,4.164,0.0067,0.027899,80.034156
91,4.164,0.0072,0.029981,80.034556
92,4.168,0.0066,0.027509,80.034922
93,4.168,0.0073,0.030426,80.035328
94,4.164,0.0068,0.028315,80.035706
95,4.164,0.0068,0.028315,80.036083
96,4.168,0.0068,0.028342,80.036461
97,4.164,0.0066,0.027482,80.036828
98,4.168,0.0069,0.028759,80.037211
99,4.16,0.0068,0.028288,80.037589
100,4.164,0.0071,0.029564,80.037983
101,4.164,0.0071,0.029564,80.038378
102,4.164,0.0067,0.027899,80.038750
103,4.164,0.0068,0.028315,80.039128
104,4.16,0.0067,0.027872,80.039500
105,4.164,0.007,0.029148,80.039889
106,4.164,0.0071,0.029564,80.040283
107,4.168,0.0067,0.027926,80.040656
108,4.164,0.0071,0.029564,80.041050
109,4.164,0.0069,0.028732,80.041433
110,4.164,0.0069,0.028732,80.041817
111,4.164,0.0068,0.028315,80.042194
112,4.164,0.0067,0.027899,80.042567
113,4.168,0.007,0.029176,80.042956
114,4.164,0.0068,0.028315,80.043333
115,4.164,0.0068,0.028315,80.043711
116,4.168,0.0067,0.027926,80.044083
117,4.168,0.0069,0.028759,80.044467
118,4.168,0.0069,0.028759,80.044850
119,4.164,0.0066,0.027482,80.045217
120,4.168,0.0069,0.028759,80.045600
121,4.164,0.0069,0.028732,80.045983
122,4.164,0.0069,0.028732,80.046367
123,4.164,0.0069,0.028732,80.046750
124,4.164,0.0067,0.027899,80.047122
125,4.168,0.0069,0.028759,80.047506
126,4.164,0.0068,0.028315,80.047883
127,4.164,0.0069,0.028732,80.048267
128,4.168,0.0069,0.028759,80.048650
129,4.168,0.0066,0.027509,80.049017
130,4.168,0.0069,0.028759,80.049400
131,4.168,0.0069,0.028759,80.049783
