cycle,voltage,current,power
1,0.864,0.0059,0.005098
2,0.864,0.0061,0.00527
3,0.868,0.0059,0.005121
4,0.864,0.0061,0.00527
5,0.868,0.0058,0.005034
6,0.868,0.0057,0.004948
7,0.864,0.0057,0.004925
8,0.868,0.0061,0.005295
9,0.868,0.0058,0.005034
10,0.868,0.0061,0.005295
11,0.868,0.0059,0.005121
12,0.864,0.0058,0.005011
13,0.868,0.006,0.005208
14,0.864,0.0056,0.004838
15,0.864,0.0061,0.00527
16,0.868,0.0059,0.005121
17,0.868,0.0059,0.005121
18,0.864,0.0062,0.005357
19,0.868,0.0057,0.004948
20,0.868,0.0058,0.005034
21,0.864,0.0059,0.005098
22,0.864,0.0058,0.005011
23,0.868,0.0059,0.005121
24,0.868,0.0061,0.005295
25,0.868,0.0056,0.004861
26,0.864,0.0059,0.005098
27,0.868,0.0062,0.005382
28,0.86,0.006,0.00516
29,0.864,0.0061,0.00527
30,0.868,0.0064,0.005555
31,0.868,0.0058,0.005034
32,0.864,0.0059,0.005098
33,0.864,0.0056,0.004838
34,0.864,0.0058,0.005011
35,0.868,0.0059,0.005121
36,0.868,0.0056,0.004861
37,0.868,0.0063,0.005468
38,0.872,0.0056,0.004883
39,0.868,0.006,0.005208
40,0.864,0.0063,0.005443
41,0.872,0.006,0.005232
42,0.86,0.0057,0.004902
43,0.864,0.0059,0.005098
44,0.868,0.0059,0.005121
45,0.868,0.0058,0.005034
46,0.868,0.0061,0.005295
47,0.864,0.0059,0.005098
48,0.864,0.0057,0.004925
49,0.864,0.0057,0.004925
50,0.868,0.0056,0.004861
51,0.868,0.0059,0.005121
52,0.868,0.0057,0.004948
53,0.868,0.006,0.005208
54,0.864,0.0058,0.005011
55,0.868,0.0057,0.004948
56,0.864,0.0061,0.00527
57,0.868,0.0059,0.005121
58,0.872,0.006,0.005232
59,0.868,0.0059,0.005121
60,0.868,0.0062,0.005382
61,0.86,0.0061,0.005246
62,0.872,0.0059,0.005145
63,0.864,0.0062,0.005357
64,0.872,0.0059,0.005145
65,0.864,0.0059,0.005098
66,0.868,0.0061,0.005295
67,0.868,0.0058,0.005034
68,0.868,0.0061,0.005295
69,0.864,0.0061,0.00527
70,0.868,0.0057,0.004948
71,0.868,0.0061,0.005295
72,0.864,0.0057,0.004925
73,0.868,0.0057,0.004948
74,0.868,0.0056,0.004861
75,0.868,0.0059,0.005121
76,0.864,0.0057,0.004925
77,0.868,0.0057,0.004948
78,0.868,0.0056,0.004861
79,0.864,0.0059,0.005098
80,0.868,0.0055,0.004774
81,0.868,0.0059,0.005121
82,0.868,0.0056,0.004861
83,0.868,0.0061,0.005295
84,0.86,0.0057,0.004902
85,0.868,0.0061,0.005295
86,0.864,0.0061,0.00527
87,0.872,0.0061,0.005319
88,0.868,0.0059,0.005121
